,Seasonally Unadjusted,Seasonally Adjusted
1961:01,36070,152821
1961:02,39770,155707
1961:03,38290,159443
1961:04,42876,160053
1962:01,38612,163741
1962:02,42077,164760
1962:03,39334,164131
1962:04,44986,167405
1963:01,39886,168672
1963:02,43806,171287
1963:03,41075,172307
1963:04,47105,175223
1964:01,42266,178692
1964:02,45812,179006
1964:03,43545,182528
1964:04,49369,183740
1965:01,43918,185733
1965:02,48728,190345
1965:03,45979,193160
1965:04,52939,197016
1966:01,46932,198741
1966:02,50862,199156
1966:03,48563,203282
1966:04,54728,203160
1967:01,48423,204713
1967:02,53363,208934
1967:03,49814,208549
1967:04,57015,212262
1968:01,50589,214493
1968:02,54910,215055
1968:03,52562,219398
1968:04,59819,222575
1969:01,53635,227677
1969:02,57741,226194
1969:03,54885,228596
1969:04,62173,231269
1970:01,53681,228231
1970:02,58439,229957
1970:03,56513,234569
1970:04,63714,236630
1971:01,55949,236042
1971:02,62346,244430
1971:03,60312,249943
1971:04,67776,255117
1972:01,60430,256049
1972:02,66919,262624
1972:03,64267,264564
1972:04,71852,270634
1973:01,65487,277927
1973:02,71384,279777
1973:03,68481,282004
1973:04,76454,287517
1974:01,69655,295385
1974:02,75724,297397
1974:03,72876,298672
1974:04,78235,294506
1975:01,71032,301453
1975:02,77509,305174
1975:03,76114,311496
1975:04,84214,317351
1976:01,74471,316469
1976:02,82453,325628
1976:03,80069,326456
1976:04,88573,333711
1977:01,78223,332634
1977:02,83792,331413
1977:03,82980,336657
1977:04,90203,340088
1978:01,80156,342513
1978:02,87388,345602
1978:03,86019,347847
1978:04,92677,348996
1979:01,83030,354673
1979:02,89769,355032
1979:03,87765,356289
1979:04,95285,357402
1980:01,84546,359718
1980:02,90343,358336
1980:03,89809,365143
1980:04,98178,368305
1981:01,88505,370197
1981:02,93069,369214
1981:03,89824,367240
1981:04,97154,367557
1982:01,86263,361813
1982:02,90692,360095
1982:03,87778,358654
1982:04,94739,357324
1983:01,86159,362997
1983:02,92491,367589
1983:03,91482,372449
1983:04,99552,375702
1984:01,90955,380524
1984:02,97018,384938
1984:03,94501,386323
1984:04,103751,393113
1985:01,94569,397670
1985:02,101451,402161
1985:03,100393,410237
1985:04,109921,415268
1986:01,99179,415088
1986:02,106130,420322
1986:03,104511,427029
1986:04,112721,427726
1987:01,102865,431116
1987:02,110451,438660
1987:03,108692,442800
1987:04,118126,447961
1988:01,108056,451340
1988:02,114911,458350
1988:03,113127,461243
1988:04,123316,466708
1989:01,112247,471329
1989:02,120032,477197
1989:03,117389,475597
1989:04,126077,478855
1990:01,116181,486438
1990:02,120986,480628
1990:03,118426,481079
1990:04,126349,479621
1991:01,112096,468359
1991:02,119779,476694
1991:03,117807,476833
1991:04,125745,479820
1992:01,115234,481141
1992:02,120785,482637
1992:03,119690,484933
1992:04,128009,486161
1993:01,116520,489022
1993:02,123108,490862
1993:03,121916,493996
1993:04,130789,495451
1994:01,120078,503460
1994:02,126614,505479
1994:03,125245,508363
1994:04,135909,514081
1995:01,122155,513431
1995:02,129761,517168
1995:03,128889,522147
1995:04,137898,522066
1996:01,126618,528335
1996:02,132442,529040
1996:03,130540,530632
1996:04,142143,538965
1997:01,130571,547205
1997:02,139022,552233
1997:03,137717,558915
1997:04,148094,563261
1998:01,134078,563518
1998:02,143617,570582
1998:03,141494,573997
1998:04,151706,575481
1999:01,138878,583785
1999:02,147926,589253
1999:03,147517,596257
1999:04,158604,602404
2000:01,145810,608755
2000:02,153967,614076
2000:03,154055,622319
2000:04,163404,623794
2001:01,149799,628679
2001:02,158112,630006
2001:03,156448,631098
2001:04,167774,638750
2002:01,154654,647076
2002:02,164273,655160
2002:03,162584,656632
2002:04,174211,664020
2003:01,159470,667404
2003:02,169186,673484
2003:03,168844,680116
2003:04,178157,681624
2004:01,165046,691516
2004:02,174363,695388
2004:03,174582,701568
2004:04,185056,707716
2005:01,170703,717876
2005:02,181609,724648
2005:03,182402,729320
2005:04,192317,736280
2006:01,177218,746992
2006:02,189097,754460
2006:03,191464,764376
2006:04,201609,771724
2007:01,184937,779760
,,
,,
,,
,,
,,
,,
,,
,,
,,
